metric_group,scenario,meal_rest_prems_credit,other_credit,metric_label,source,expr,extrap_expr,digits,denom,no_year_breakdown
Summary - Time Data,all,FALSE,FALSE,Begin date,shift_data1,"min(Date, na.rm=TRUE)",class_dmgs_start_date,,,FALSE
Summary - Time Data,all,FALSE,FALSE,End date,shift_data1,"max(Date, na.rm=TRUE)",mediation_date,,,FALSE
Summary - Time Data,all,FALSE,FALSE,Employees,shift_data1,"uniqueN(ID, na.rm=TRUE)",extrap_class_ees,0,,FALSE
Summary - Time Data,all,FALSE,FALSE,Weeks,shift_data1,"sum(week, na.rm=TRUE)",extrap_class_wks,0,,FALSE
Summary - Time Data,all,FALSE,FALSE,Pay periods,shift_data1,"sum(pp, na.rm=TRUE)",extrap_class_pps,0,,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts,shift_data1,"uniqueN(ID_Shift, na.rm=TRUE)",extrap_class_shifts,0,,FALSE
Summary - Time Data,all,FALSE,FALSE,Days,shift_data1,"uniqueN(ID_Date, na.rm=TRUE)","round((uniqueN(ID_Date)/uniqueN(ID_Shift))*extrap_class_shifts, 0)",0,,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts per week,shift_data1,"uniqueN(ID_Shift, na.rm=TRUE)/uniqueN(ID_Week_End, na.rm=TRUE)","uniqueN(ID_Shift, na.rm=TRUE)/uniqueN(ID_Week_End, na.rm=TRUE)",4,,FALSE
Summary - Time Data,all,FALSE,FALSE,Average shift hours,shift_data1,"mean(shift_hrs, na.rm=TRUE)","mean(shift_hrs, na.rm=TRUE)",4,,FALSE
Summary - Time Data,all,FALSE,FALSE,Median shift hours,shift_data1,"median(shift_hrs, na.rm=TRUE)","median(shift_hrs, na.rm=TRUE)",4,,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >3.5 hrs,shift_data1,"sum(shift_hrs > 3.5, na.rm=TRUE)","sum(shift_hrs > 3.5, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >5 hrs,shift_data1,"sum(shift_hrs > 5, na.rm=TRUE)","sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >5 & <=6 hrs,shift_data1,"sum(shift_hrs > 5 & shift_hrs <= 6, na.rm=TRUE)","sum(shift_hrs > 5 & shift_hrs <= 6, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >6 hrs,shift_data1,"sum(shift_hrs > 6, na.rm=TRUE)","sum(shift_hrs > 6, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts =8 hrs,shift_data1,"sum(shift_hrs==8, na.rm=TRUE)","sum(shift_hrs==8, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >8 hrs,shift_data1,"sum(shift_hrs > 8, na.rm=TRUE)","sum(shift_hrs > 8, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >10 hrs,shift_data1,"sum(shift_hrs > 10, na.rm=TRUE)","sum(shift_hrs > 10, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >10 & <=12 hrs,shift_data1,"sum(shift_hrs > 10 & shift_hrs <= 12, na.rm=TRUE)","sum(shift_hrs > 10 & shift_hrs <= 12, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Time Data,all,FALSE,FALSE,Shifts >12 hrs,shift_data1,"sum(shift_hrs > 12, na.rm=TRUE)","sum(shift_hrs > 12, na.rm=TRUE) / shifts_all * extrap_class_shifts",0,shifts_all,FALSE
Summary - Pay Data,all,FALSE,FALSE,Begin date of pay data,pay1,"min(Pay_Period_End, na.rm=TRUE)",class_dmgs_start_date,,,FALSE
Summary - Pay Data,all,FALSE,FALSE,End date of pay data,pay1,"max(Pay_Period_End, na.rm=TRUE)",mediation_date,,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees in pay data,pay1,"uniqueN(Pay_ID, na.rm=TRUE)",extrap_class_ees,0,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods in pay data,pay1,"uniqueN(Pay_ID_Period_End, na.rm=TRUE)","uniqueN(Pay_ID_Period_End, na.rm=TRUE) / uniqueN(Pay_ID_Period_End[Hrs_Wkd_Pay_Code > 0], na.rm=TRUE)  * extrap_class_pps",0,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with hours worked,pay1,"uniqueN(Pay_ID_Period_End[Hrs_Wkd_Pay_Code > 0], na.rm=TRUE)",extrap_class_pps,0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Avg Base Rate $,pp_data1,"mean(Base_Rate, na.rm=TRUE)","mean(Base_Rate, na.rm=TRUE)",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Avg RROP $,pp_data1,"mean(RROP, na.rm=TRUE)","mean(RROP, na.rm=TRUE)",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Median Base Rate $,pp_data1,"median(Base_Rate, na.rm=TRUE)","median(Base_Rate, na.rm=TRUE)",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Median RROP $,pp_data1,"median(RROP, na.rm=TRUE)","median(RROP, na.rm=TRUE)",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees with overtime,pay1,"uniqueN(Pay_ID[pp_OT_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID[pp_OT_Pay_Code > 0], na.rm=TRUE) / uniqueN(Pay_ID) * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with overtime,pay1,"uniqueN(Pay_ID_Period_End[pp_OT_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[pp_OT_Pay_Code > 0], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees with double time,pay1,"uniqueN(Pay_ID[pp_DT_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID[pp_DT_Pay_Code > 0], na.rm=TRUE) / employees_pay * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with double time,pay1,"uniqueN(Pay_ID_Period_End[pp_DT_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[pp_DT_Pay_Code > 0], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees with meal premiums,pay1,"uniqueN(Pay_ID[pp_Meal_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID[pp_Meal_Pay_Code > 0], na.rm=TRUE) / employees_pay * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with meal premiums,pay1,"uniqueN(Pay_ID_Period_End[pp_Meal_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[pp_Meal_Pay_Code > 0], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Meal premium hrs,pay1,"sum(pp_Meal_Prem_Hrs[Pay_pp==1], na.rm=TRUE)","sum(pp_Meal_Prem_Hrs[Pay_pp==1], na.rm=TRUE) / uniqueN(Pay_ID_Period_End[Hrs_Wkd_Pay_Code > 0], na.rm=TRUE) * extrap_class_pps",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Meal premium $,pay1,"sum(pp_Meal_Amt[Pay_pp==1], na.rm=TRUE)","sum(pp_Meal_Amt[Pay_pp==1], na.rm=TRUE) / sum(pp_Meal_Prem_Hrs[Pay_pp==1], na.rm=TRUE) * (sum(pp_Meal_Prem_Hrs[Pay_pp==1], na.rm=TRUE) / uniqueN(Pay_ID_Period_End[Hrs_Wkd_Pay_Code > 0]) * extrap_class_pps)",2,,FALSE
